query1,query2,k,result
fiction,destroy,12,1-10/1-5/1.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 11-15/11.txt 11-15/12.txt 11-15/14.txt 11-15/15.txt 16
happy,devil,11,1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/7 1-10/6-10/8 11-15/11.txt 11-15/12.txt 11-15/13.txt 11-15/14.txt 17 18
hope,angel,6,1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/8 1-10/6-10/9 11-15/15.txt
love,dream,15,1-10/1-5/1.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/7 1-10/6-10/9 11-15/12.txt 11-15/14.txt 16 18
moment,experience,15,1-10/1-5/2.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/9 11-15/11.txt 11-15/13.txt 11-15/14.txt 11-15/15.txt 17 18
power,extreme,10,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/6-10/8 1-10/6-10/9 11-15/11.txt 11-15/12.txt 11-15/14.txt 17 18
reason,flame,10,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/6-10/10 1-10/6-10/7 1-10/6-10/9 11-15/12.txt 11-15/14.txt 11-15/15.txt 17
silent,footsteps,12,1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/7 11-15/12.txt 11-15/13.txt 11-15/14.txt 16 17 18
story,forgive,7,1-10/1-5/1.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/9 11-15/15.txt 16 17
woman,form,15,1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/8 1-10/6-10/9 11-15/12.txt 11-15/13.txt 11-15/14.txt 16
alive,glow,12,1-10/1-5/1.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/6 1-10/6-10/8 11-15/12.txt 11-15/13.txt 11-15/14.txt 16 17 18
become,help,9,1-10/1-5/1.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/9 11-15/12.txt 11-15/15.txt 17 18
believe,horror,6,1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/7 1-10/6-10/9 11-15/12.txt
closer,hunger,11,1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/7 1-10/6-10/8 1-10/6-10/9 11-15/11.txt 11-15/14.txt 17 18
human,joy,15,1-10/1-5/2.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/7 1-10/6-10/8 1-10/6-10/9 11-15/11.txt 11-15/12.txt 11-15/13.txt 11-15/14.txt 11-15/15.txt
living,land,10,1-10/1-5/1.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/7 1-10/6-10/9 11-15/12.txt 11-15/13.txt 11-15/14.txt 18
matter,laugh,11,1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/8 1-10/6-10/9 11-15/14.txt 11-15/15.txt 16 17 18
window,legend,5,1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/9 11-15/12.txt
ago,life,6,1-10/1-5/2.txt 1-10/6-10/6 11-15/12.txt 11-15/15.txt 16 17
air,madness,10,1-10/1-5/2.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/7 1-10/6-10/9 11-15/11.txt 11-15/12.txt 16 17
bed,marry,15,1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/8 1-10/6-10/9 11-15/11.txt 11-15/12.txt 11-15/13.txt 11-15/14.txt 18
